n_types,n_tokens,sample_id
3153,20000,41
3876,30000,41
4558,40000,41
5079,50000,41
5521,60000,41
5951,70000,41
6257,80000,41
6619,90000,41
6914,100000,41
6903,100000,41
9123,200000,41
10705,300000,41
11795,400000,41
12856,500000,41
13638,600000,41
14346,700000,41
85,100,42
145,200,42
195,300,42
224,400,42
267,500,42
301,600,42
328,700,42
376,800,42
456,900,42
457,1000,42
409,1000,42
732,2000,42
1002,3000,42
1235,4000,42
1391,5000,42
1560,6000,42
1685,7000,42
1869,8000,42
1994,9000,42
2106,10000,42
2097,10000,42
3158,20000,42
3954,30000,42
4495,40000,42
5069,50000,42
5452,60000,42
5945,70000,42
6232,80000,42
6572,90000,42
6881,100000,42
6854,100000,42
9170,200000,42
10629,300000,42
11923,400000,42
12849,500000,42
13662,600000,42
14353,700000,42
76,100,43
125,200,43
189,300,43
241,400,43
284,500,43
326,600,43
344,700,43
380,800,43
401,900,43
456,1000,43
461,1000,43
748,2000,43
962,3000,43
1185,4000,43
1394,5000,43
1589,6000,43
1722,7000,43
1813,8000,43
2052,9000,43
2081,10000,43
2138,10000,43
3220,20000,43
3877,30000,43
4500,40000,43
5053,50000,43
5450,60000,43
5901,70000,43
6228,80000,43
6635,90000,43
6912,100000,43
6899,100000,43
9108,200000,43
10616,300000,43
11835,400000,43
12825,500000,43
13626,600000,43
14365,700000,43
82,100,44
137,200,44
192,300,44
234,400,44
278,500,44
306,600,44
356,700,44
373,800,44
424,900,44
450,1000,44
442,1000,44
749,2000,44
965,3000,44
1172,4000,44
1362,5000,44
1580,6000,44
1712,7000,44
1831,8000,44
1986,9000,44
2118,10000,44
2159,10000,44
3258,20000,44
3900,30000,44
4519,40000,44
5026,50000,44
5472,60000,44
5788,70000,44
6269,80000,44
6594,90000,44
6907,100000,44
6998,100000,44
9130,200000,44
10659,300000,44
11861,400000,44
12785,500000,44
13640,600000,44
14359,700000,44
82,100,45
132,200,45
196,300,45
240,400,45
259,500,45
329,600,45
359,700,45
386,800,45
411,900,45
472,1000,45
463,1000,45
751,2000,45
982,3000,45
1183,4000,45
1372,5000,45
1546,6000,45
1726,7000,45
1843,8000,45
1992,9000,45
2075,10000,45
2147,10000,45
3148,20000,45
3919,30000,45
4554,40000,45
4993,50000,45
5529,60000,45
5889,70000,45
6230,80000,45
6485,90000,45
6937,100000,45
6945,100000,45
9199,200000,45
10724,300000,45
11918,400000,45
12878,500000,45
13657,600000,45
14353,700000,45
82,100,46
124,200,46
184,300,46
224,400,46
276,500,46
329,600,46
364,700,46
389,800,46
417,900,46
463,1000,46
459,1000,46
762,2000,46
999,3000,46
1208,4000,46
1397,5000,46
1557,6000,46
1698,7000,46
1848,8000,46
2001,9000,46
2041,10000,46
2105,10000,46
3177,20000,46
3902,30000,46
4458,40000,46
5034,50000,46
5525,60000,46
5830,70000,46
6214,80000,46
6567,90000,46
6966,100000,46
6904,100000,46
9133,200000,46
10723,300000,46
11886,400000,46
12840,500000,46
13598,600000,46
14348,700000,46
78,100,47
130,200,47
193,300,47
236,400,47
281,500,47
310,600,47
364,700,47
390,800,47
419,900,47
462,1000,47
441,1000,47
755,2000,47
986,3000,47
1204,4000,47
1376,5000,47
1555,6000,47
1717,7000,47
1897,8000,47
2014,9000,47
2087,10000,47
2099,10000,47
3118,20000,47
3966,30000,47
4556,40000,47
5027,50000,47
5484,60000,47
5852,70000,47
6156,80000,47
6575,90000,47
6850,100000,47
6960,100000,47
9173,200000,47
10694,300000,47
11865,400000,47
12757,500000,47
13631,600000,47
14349,700000,47
71,100,48
136,200,48
185,300,48
233,400,48
266,500,48
302,600,48
359,700,48
398,800,48
436,900,48
484,1000,48
439,1000,48
736,2000,48
1015,3000,48
1211,4000,48
1411,5000,48
1538,6000,48
1750,7000,48
1810,8000,48
2066,9000,48
2159,10000,48
2081,10000,48
3120,20000,48
3892,30000,48
4573,40000,48
4998,50000,48
5540,60000,48
5827,70000,48
6221,80000,48
6541,90000,48
6851,100000,48
6902,100000,48
9069,200000,48
10667,300000,48
11815,400000,48
12792,500000,48
13619,600000,48
14340,700000,48
74,100,49
128,200,49
198,300,49
205,400,49
276,500,49
312,600,49
359,700,49
396,800,49
446,900,49
451,1000,49
433,1000,49
760,2000,49
1036,3000,49
1213,4000,49
1384,5000,49
1565,6000,49
1665,7000,49
1845,8000,49
2013,9000,49
2122,10000,49
2147,10000,49
3184,20000,49
3876,30000,49
4493,40000,49
5045,50000,49
5527,60000,49
5859,70000,49
6279,80000,49
6587,90000,49
6893,100000,49
6870,100000,49
9131,200000,49
10662,300000,49
11847,400000,49
12763,500000,49
13643,600000,49
14343,700000,49
81,100,50
142,200,50
188,300,50
224,400,50
267,500,50
308,600,50
372,700,50
399,800,50
424,900,50
448,1000,50
455,1000,50
734,2000,50
1004,3000,50
1184,4000,50
1383,5000,50
1561,6000,50
1714,7000,50
1891,8000,50
2000,9000,50
2114,10000,50
2169,10000,50
3120,20000,50
3887,30000,50
4544,40000,50
5056,50000,50
5469,60000,50
5917,70000,50
6221,80000,50
6568,90000,50
6889,100000,50
6860,100000,50
9150,200000,50
10638,300000,50
11864,400000,50
12793,500000,50
13656,600000,50
14358,700000,50
76,100,51
135,200,51
185,300,51
224,400,51
279,500,51
316,600,51
338,700,51
401,800,51
426,900,51
456,1000,51
455,1000,51
752,2000,51
1004,3000,51
1203,4000,51
1400,5000,51
1598,6000,51
1723,7000,51
1873,8000,51
1980,9000,51
2138,10000,51
2165,10000,51
3243,20000,51
3919,30000,51
4557,40000,51
5036,50000,51
